Column,Name ,Description,
68,LRfIn12,Longwave flux into roofs in layer 12 [Wm-2],
69,LRfIn13,Longwave flux into roofs in layer 13 [Wm-2],
70,LRfIn14,Longwave flux into roofs in layer 14 [Wm-2],
71,LRfIn15,Longwave flux into roofs in layer 15 [Wm-2],
72,LTopNet,Top-of-canopy net longwave flux [Wm-2],
73,LGrndNet,Net longwave flux into the ground [Wm-2],
74,LTopDn,Top-of-canopy downwelling longwave flux [Wm-2],
75,KCAAbs1,Shortwave absorption rate in clear-air part of layer 1 [Wm-2],
76,KCAAbs2,Shortwave absorption rate in clear-air part of layer 2 [Wm-2],
77,KCAAbs3,Shortwave absorption rate in clear-air part of layer 3 [Wm-2],
78,KCAAbs4,Shortwave absorption rate in clear-air part of layer 4 [Wm-2],
79,KCAAbs5,Shortwave absorption rate in clear-air part of layer 5 [Wm-2],
80,KCAAbs6,Shortwave absorption rate in clear-air part of layer 6 [Wm-2],
81,KCAAbs7,Shortwave absorption rate in clear-air part of layer 7 [Wm-2],
82,KCAAbs8,Shortwave absorption rate in clear-air part of layer 8 [Wm-2],
83,KCAAbs9,Shortwave absorption rate in clear-air part of layer 9 [Wm-2],
84,KCAAbs10,Shortwave absorption rate in clear-air part of layer 10 [Wm-2],
85,KCAAbs11,Shortwave absorption rate in clear-air part of layer 11 [Wm-2],
86,KCAAbs12,Shortwave absorption rate in clear-air part of layer 12 [Wm-2],
87,KCAAbs13,Shortwave absorption rate in clear-air part of layer 13 [Wm-2],
88,KCAAbs14,Shortwave absorption rate in clear-air part of layer 14 [Wm-2],
89,KCAAbs15,Shortwave absorption rate in clear-air part of layer 15 [Wm-2],
90,KWallNet1,Net shortwave flux into walls in layer 1 [Wm-2],
91,KWallNet2,Net shortwave flux into walls in layer 2 [Wm-2],
92,KWallNet3,Net shortwave flux into walls in layer 3 [Wm-2],
93,KWallNet4,Net shortwave flux into walls in layer 4 [Wm-2],
94,KWallNet5,Net shortwave flux into walls in layer 5 [Wm-2],
95,KWallNet6,Net shortwave flux into walls in layer 6 [Wm-2],
96,KWallNet7,Net shortwave flux into walls in layer 7 [Wm-2],
97,KWallNet8,Net shortwave flux into walls in layer 8 [Wm-2],
98,KWallNet9,Net shortwave flux into walls in layer 9 [Wm-2],
99,KWallNet10,Net shortwave flux into walls in layer 10 [Wm-2],
100,KWallNet11,Net shortwave flux into walls in layer 11 [Wm-2],
101,KWallNet12,Net shortwave flux into walls in layer 12 [Wm-2],
102,KWallNet13,Net shortwave flux into walls in layer 13 [Wm-2],
103,KWallNet14,Net shortwave flux into walls in layer 14 [Wm-2],
104,KWallNet15,Net shortwave flux into walls in layer 15 [Wm-2],
105,KRfNet1,Net shortwave flux into roofs in layer 1 [Wm-2],
106,KRfNet2,Net shortwave flux into roofs in layer 2 [Wm-2],
107,KRfNet3,Net shortwave flux into roofs in layer 3 [Wm-2],
108,KRfNet4,Net shortwave flux into roofs in layer 4 [Wm-2],
109,KRfNet5,Net shortwave flux into roofs in layer 5 [Wm-2],
110,KRfNet6,Net shortwave flux into roofs in layer 6 [Wm-2],
111,KRfNet7,Net shortwave flux into roofs in layer 7 [Wm-2],
112,KRfNet8,Net shortwave flux into roofs in layer 8 [Wm-2],
113,KRfNet9,Net shortwave flux into roofs in layer 9 [Wm-2],
114,KRfNet10,Net shortwave flux into roofs in layer 10 [Wm-2],
115,KRfNet11,Net shortwave flux into roofs in layer 11 [Wm-2],
116,KRfNet12,Net shortwave flux into roofs in layer 12 [Wm-2],
117,KRfNet13,Net shortwave flux into roofs in layer 13 [Wm-2],
118,KRfNet14,Net shortwave flux into roofs in layer 14 [Wm-2],
119,KRfNet15,Net shortwave flux into roofs in layer 15 [Wm-2],
120,KRfIn1,Shortwave flux into roofs in layer 1 [Wm-2],
121,KRfIn2,Shortwave flux into roofs in layer 2 [Wm-2],
122,KRfIn3,Shortwave flux into roofs in layer 3 [Wm-2],
123,KRfIn4,Shortwave flux into roofs in layer 4 [Wm-2],
124,KRfIn5,Shortwave flux into roofs in layer 5 [Wm-2],
125,KRfIn6,Shortwave flux into roofs in layer 6 [Wm-2],
126,KRfIn7,Shortwave flux into roofs in layer 7 [Wm-2],
127,KRfIn8,Shortwave flux into roofs in layer 8 [Wm-2],
128,KRfIn9,Shortwave flux into roofs in layer 9 [Wm-2],
129,KRfIn10,Shortwave flux into roofs in layer 10 [Wm-2],
130,KRfIn11,Shortwave flux into roofs in layer 11 [Wm-2],
131,KRfIn12,Shortwave flux into roofs in layer 12 [Wm-2],
132,KRfIn13,Shortwave flux into roofs in layer 13 [Wm-2],
133,KRfIn14,Shortwave flux into roofs in layer 14 [Wm-2],
134,KRfIn15,Shortwave flux into roofs in layer 15 [Wm-2],
135,KTopDnDir,Direct shortwave flux into roofs [Wm-2],
136,KTopNet,Top-of-canopy net shortwave flux [Wm-2],
137,KGrndDnDir,Direct downwelling shortwave flux into the ground [Wm-2],
138,KGrndNet,Net shortwave flux into the ground [Wm-2],
